,,KUNG,,,,,
"Girls ",áwêzə́ŋə́,wázə̀ŋə̀,wázə̀ŋə̀,áwêzə́ŋə́,ǹnêmə̀zə̀ŋmə̀,ə́zaǐ,wǎzə̀ŋə̀
,,,,,,,
"Thief ",wùtsɔ̀ŋɔ̀,wɔ̀tsɔ́ŋɔ̀,wùtsɔ́ŋǔ,wùtsɔ̀ŋɔ̀,wùtsɔ̀ŋɔ̀,wùtsɔ́ŋǔ,wʉ̀tsɔ́ŋɔ̀
"Thieves ",aghʉ̀tsɔ́ŋɔ̀,ghʉ̀tsɔ́ŋɔ̀,ghə́tsɔ́ŋɔ́,aghʉ̀tsɔ́ŋɔ̀,ghʉ̂tsɔ́ŋɔ̂,ghə́tsɔ́ŋɔ́,ghʉ̀tsɔ́ŋɔ̀
,,,,,,,
,,,,,,,
"Go ",nʉ̀,nù,nù,nʉ̀,nù,nù,nʉ̀
,,,,,,,
"Come ",bě,bě,bě,bě,bě,bə̌,bě
,,,,,,,
"Sit ",té’é,té’é,té’é,té’é,té’é,té’é,té’é
,,,,,,,
