WORDLISTS,,MUNGBAM,,,,,
eat,"dzɨ̀ ",dzɨ̀,dzə̌kwúnə́,dzɨ̀,zə̌,dzɨ̌
"Sing ",yámnə́,yám,"no response",yámnə́,yámnə́,yám
climp,bwàyíná,bwɔ̌,bɔ̌yínə́,bwɔ̌,bwɔ́ə,dǐ
"Fry ",fə̀nə́,fǎ,tshə̀kwúnə́,fǎ,fâ,tsĕ
clear,fúŋyǔyáŋ,fʉ̀n,fʉ̀nnə̀,fʉ̀n,fʉ̀n,úfə́n
"Tie ",kàsɨ̀kǔ,kì’í," kàsɨ̀kǔ",kàsɨ̀kǔ,kàsɨ̌,kàsɨ́
"Jumb ",tàbì,twádzídzà,twǎ,tàbì,tə̀bí,"twà ̀á"
talk,biàŋ,biàŋ,biàŋ,biàŋ,biàŋ,bʲȃŋ
untie,shàbàsànǎ,shwǒ,shwàbɨ́sə̀ŋ,shwàsâ,shwàsâ,shwă
"Rest ",wùfə̀mɨ́,kɨ́lɛ́mə́,wùsə̀mɨ́,wùfə̀mɨ́,wùfə̀mɨ́,wɔ̀fə́
"Count ",bàlànâ,bàlə́,bàlə́,bàlə́,bàlànâ,bàlə́
Cry,dǐ,dǐ,dǐ,dǐ,dǐ,dǐ
Laugh,shà’á,shà’á,shà’á,shà’á,shà’á,shà’á
Pick,bɔ́ŋyí,màyí,bɔ́ŋyí,bɔ́ŋyí,bɔ́ŋyí,búŋyí
Steal,nǔdzǐdzì,dzǐ,dzǐlə́,dzǐlə́,dzǐ,dzǐ
Clap,kàbànàŋ,kàmɨ̌kə̀ŋ,kàmsə́,kàmɨ̌kə̀ŋ,kàmɨ̌,kàmə̀
Shoot,"no response",tàm,tɨ̀mnə̀,"no response",dzǔ,tám
Sweep,"no response",kúmfá,kə̀mfɨ́,"no response",mífə̂,shí
Wipe,nshǐ,shǐ,shà’àfə́nɨ́,nshǐ,shǐ,mífə́
Rinse,wùfə̀yí,láŋá,lìbə̀ŋnǎbíŋ,"no response",láŋmə́sɨ́,làŋbə́fə́
Listen,wè,wè,wèdzùŋ,wè,wè,wè
Wash,wù,wù,wùsə̀,wù,wù,wǔ
call,bàŋ,bàŋ,bàŋnə́,báŋ,báŋ,báŋ
read,bàŋkə̀,bàŋ,bǎŋ,báŋ,bàŋnə́,báŋ
"Pray ",bàŋtsə́lə̀,bàŋtsɨ́ŋkìgbwə̀m,bàŋtsàŋ,bàŋtsə́lə́,bàŋtsə́lə́,bàŋtsə́lə́
